boroughcode,taxblock,taxlot,bbl,zoningdistrict1,zoningdistrict2,zoningdistrict3,zoningdistrict4,commercialoverlay1,commercialoverlay2,specialdistrict1,specialdistrict2,specialdistrict3,limitedheightdistrict,mihflag,mihoption,zoningmapnumber,zoningmapcode,area,inzonechange,bblprev,zd1prev,zd2prev,zd3prev,zd4prev,co1prev,co2prev,sd1prev,sd2prev,sd3prev,lhdprev,zmnprev,zmcprev,geom
2,3827,55,2038270055,M1-1,R5,,,,,,,,,,,4B,,5488.75748900697,,2038270055,M1-1,,,,,,,,,,4B,,0106000020E610000001000000010300000001000000060000007DDC8F6C1F7652C0664A6CC4576A44402CA8AF7E207652C0244C87AB606A44403530FEC00F7652C06848B62B656A4440C51AFEA80D7652C0AC517EE2526A4440280D7E4C1E7652C0479459694E6A44407DDC8F6C1F7652C0664A6CC4576A4440
2,4557,9,2045570009,R4,R4-1,,,,,,,,,,,4A,,307.495256647468,,2045570009,R4,,,,,,,,,,4A,,0106000020E610000001000000010300000001000000080000001F4B2421D17652C08F9A78391D6F44405CB72E98D27652C0133964461D6F4440BA14FB8BD27652C0A0F4323D206F44401C85D899CC7652C0B4D7BD08206F44405CAF0CA6CC7652C02021EF111D6F4440A11F75A7CC7652C059A1FB111D6F44406277A41FCE7652C04509F41E1D6F44401F4B2421D17652C08F9A78391D6F4440
2,5439,39,2054390039,R3A,,,,,,,,,,,,7C,,316.847016476095,,2054390039,R3A,,,,C1-2,,,,,,7C,,0106000020E610000001000000010300000001000000070000003B76AF26697452C06D9478B96B6944402DAB04716E7452C0E5E4F31769694440240C6C906E7452C0C26B33A669694440219976F26E7452C04C8D5C626B6944402635121F6F7452C00FDC6C2C6C6944403ED681C9697452C0F29485D36E6944403B76AF26697452C06D9478B96B694440
1,1140,36,1011400036,C1-8A,,,,,,,,,,,,8C,,199.920780606568,,1011400036,C1-8A,R8B,,,,,,,,,8C,,0106000020E61000000100000001030000000100000005000000DA252B1CC37E52C00E22867D466344401B00F315C67E52C03A9D44423E6344408379F526C77E52C036FBF9273F63444039CE2D2DC47E52C0DCB73B6347634440DA252B1CC37E52C00E22867D46634440
4,12439,7,4124390007,R5D,R3-2,,,,,,,,,,,19A,,145.043263804168,,4124390007,R3-2,,,,,,,,,,19A,,0106000020E6100000010000000103000000010000000400000005DAFBA0FD7052C097AC14708D584440A9EBB668007152C05745A13493584440080B7713FD7052C0973249429258444005DAFBA0FD7052C097AC14708D584440
4,12935,40,4129350040,R2,,,,,,,,,,,,19A,,121.576687850058,,4129350040,R2,R4B,,,,,,,,,19A,,0106000020E610000001000000010300000001000000090000007D91B7B6956F52C0DDE42D08E75644409A9A83F9956F52C00CD9B318E6564440CECC541F966F52C018E21B91E556444084B35695966F52C0AA5400EAE356444047763E13976F52C0BFD79926E256444033B54998976F52C0D5219449E0564440D2AE19C0986F52C00BFD080BE1564440DC2CB34F966F52C05B5BD465E75644407D91B7B6956F52C0DDE42D08E7564440
2,4728,47,2047280047,R5,C8-1,,,,,,,,,,,2B,,279.041202459484,,2047280047,C8-1,R5,,,,,,,,,2B,,0106000020E61000000100000001030000000100000005000000C6ED65670F7652C00AD4F2E07070444023A66FCE137652C0820E81F06D70444006B13FB1147652C0C9EDB7FB70704440DF19334A107652C0E50628EC73704440C6ED65670F7652C00AD4F2E070704440
2,4888,4,2048880004,C8-1,R4,R5,,,,,,,,,,2B,,563.874504238367,,2048880004,C8-1,R4,,,,,,,,,2B,,0106000020E610000001000000010300000001000000070000002E2B8A87F57552C0592B6C549A704440319FB2C3F87552C024D566569670444007311582FB7552C081B968E28E704440A6043E56FD7552C09BBA9D6E907044403D6EF268FA7552C0793411629870444074162BD7F67552C02C11C1C99C7044402E2B8A87F57552C0592B6C549A704440
3,172,66,3001720066,R6B,,,,,,DB,,,,,,16C,,402.69344602339,,3001720066,R6B,C6-1,,,,,DB,,,,16C,,0106000020E610000001000000010300000001000000070000004D5E5125F77E52C03EE058170858444047766765F57E52C0A5C86BB70658444029CAE133F87E52C006CC507EFE5744401FF5A669FA7E52C06C7C683800584440F0980F47F87E52C0A582E77906584440884C859AF77E52C05B0C6F73085844404D5E5125F77E52C03EE0581708584440
4,12439,10,4124390010,R5D,,,,C1-3,,,,,,,,19A,,56.5436683725566,,4124390010,R5D,R3-2,,,C1-3,,,,,,19A,,0106000020E61000000100000001030000000100000005000000DE932F68FB7052C003CFECC8915844407973933CFC7052C0F675AD8C8A5844406F65699DFC7052C0359D92558B5844403DD945DCFB7052C0BD63E5E991584440DE932F68FB7052C003CFECC891584440
3,7964,63,3079640063,R5B,,,,,,,,,,,,23A,,1230.82465195656,,3079640063,R5B,C8-1,,,,,,,,,23A,,0106000020E6100000010000000103000000010000000A000000029EE0387B7A52C015760A7541524440172B5DCD7F7A52C07CA4B17B3B52444013956FFE7F7A52C09581EAD33B5244408F261EFF807A52C06E0961A13D524440EB05ECF0817A52C09FC919543F5244400FC734EC827A52C0B40EDB1741524440210601E4837A52C0A7C457D542524440E3F051C2847A52C0258105654452444065347A30807A52C02533EB5A4A524440029EE0387B7A52C015760A7541524440
3,7965,133,3079650133,R5B,,,,,,,,,,,,23A,,2042.92298038304,,3079650133,R5B,C8-1,,,,,,,,,23A,,0106000020E6100000010000000103000000010000001200000031D418526C7A52C0DAF685AC4A524440A2014CDC707A52C0E2B4A6BF445244402FCC1D92717A52C0E4384506465244403671BDA7717A52C086B21D2D46524440584CB166727A52C0A8F429844752444010DBB3A1737A52C0707CF6C749524440E594759F747A52C030DC019B4B52444065D73C35777A52C0ABFBD83F505244403323C97E787A52C0C6FCD98F5252444062402BF1777A52C01301B14853524440394C6A03787A52C0EE2B2269535244405CFD68B4787A52C06976DEA3545244409D6C7F47787A52C0FC590432555244406BC9C5BE747A52C0E27FD7CE59524440C880A4C6707A52C0AC9B70AD5252444053BFDFA66D7A52C071ADB7104D524440E7D6EB076D7A52C07B9228F34B52444031D418526C7A52C0DAF685AC4A524440
